"refext","route","pr","abs","dep","siredo","libelle","source","reg","nomreg","metropole","longitude","latitude","tipi","focus"
NULL,"A750",10,870,"34","MMT34.H2","Montpellier --> A750","issoire","76","Occitanie","Montpellier Méditerranée Métropole","3.75748421488068","43.6337326301709",NULL,1
NULL,"A750",10,870,"34","MMT34.H1","A750 --> Montpellier","issoire","76","Occitanie","Montpellier Méditerranée Métropole","3.75748421488068","43.6337326301709",NULL,1
NULL,"RN9",73,900,"34","MMT34.F2","RN9 Pézenas --> Servian","issoire","76","Occitanie","Montpellier Méditerranée Métropole","3.33257522710259","43.3989698912179",NULL,1
NULL,"RN9",73,900,"34","MMT34.F1","RN9 Servian --> Béziers","issoire","76","Occitanie","Montpellier Méditerranée Métropole","3.33257522710259","43.3989698912179",NULL,1
NULL,"A75",280,200,"34","MMT34.B2","A75 (Bosc) --> Nord Ouest","issoire","76","Occitanie","Montpellier Méditerranée Métropole","3.34982690358627","43.6909635250359",NULL,1
NULL,"A75",280,200,"34","MMT34.B1","A75 (Bosc) --> Sud Est","issoire","76","Occitanie","Montpellier Méditerranée Métropole","3.34982690358627","43.6909635250359",NULL,1
NULL,"A75",158,650,"48","MMZ48.32","A75 (Bourgs sur Colagne) --> Nord","issoire","76","Occitanie",NULL,"3.25116041860748","44.5330939474069",NULL,1
NULL,"A75",158,650,"48","MMZ48.31","A75 (Bourgs sur Colagne) --> Sud","issoire","76","Occitanie",NULL,"3.25116041860748","44.5330939474069",NULL,1
NULL,"A75",224,250,"12","MBE12.92","A75 (Creissels) --> Montpellier","issoire","76","Occitanie",NULL,"3.03810599419251","44.0564764838764",NULL,1
NULL,"A75",224,250,"12","MBE12.91","A75 (Creissels) --> Millau","issoire","76","Occitanie",NULL,"3.03810599419251","44.0564764838764",NULL,1
NULL,"A75",190,500,"12","MBE12.52","A75 (Severac d'Aveyron) --> Nord","issoire","76","Occitanie",NULL,"3.08796915461882","44.326056465663",NULL,1
NULL,"A75",190,500,"12","MBE12.51","A75 (Severac d'Aveyron) --> Sud","issoire","76","Occitanie",NULL,"3.08796915461882","44.326056465663",NULL,1
"5044.01_1","N230",42,398,"33","MB333.e1","Ech 26 (Sens Exterieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.504472793194281","44.8685497818784","ALIENOR",1
"5044.01_2","N230",42,398,"33","MB333.e2","Ech 26 (Sens Interieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.504710453871087","44.8686703193891","ALIENOR",1
"8001.02_2","N10",17,0,"33","MBG33.G1","Peujard (Vers Paris)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.421325137677537","45.029091565499","ALIENOR",1
"8001.02_1","N10",17,0,"33","MBG33.G2","Peujard (Vers Bordeaux)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.421444782042275","45.0291275590545","ALIENOR",1
"5134.02_2","A630",31,258,"33","MB233.R2","S30 (Sens Interieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.556105924708491","44.7782944787819","ALIENOR",1
"5134.02_1","A630",31,258,"33","MB233.R1","S30 (Sens Exterieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.556118493905492","44.7781379136401","ALIENOR",1
"5221.00_2","A630",4,330,"33","MB333.A2","Pont d'Aquitaine (Sens Interieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.553487317615503","44.8830208665601","ALIENOR",1
