periode|CumulJournalier
2020-02-01|205231
2020-02-02|167194
2020-02-03|238218
2020-02-04|243585
2020-02-05|247512
2020-02-06|256029
2020-02-07|266758
2020-02-08|203171
2020-02-09|161448
2020-02-10|232089
2020-02-11|244409
2020-02-12|249095
2020-02-13|262041
2020-02-14|278983
2020-02-15|217559
2020-02-16|170073
2020-02-17|239321
2020-02-18|246635
2020-02-19|247412
2020-02-20|255621
2020-02-21|273711
2020-02-22|206791
2020-02-23|165444
2020-02-24|195189
2020-02-25|228892
2020-02-26|234627
2020-02-27|239611
2020-02-28|251886
2020-02-29|186797
2020-03-01|156741
2020-03-02|205169
2020-03-03|218013
2020-03-04|228345
2020-03-05|240766
2020-03-06|249895
2020-03-07|197156
2020-03-08|178011
2020-03-09|233779
2020-03-10|244284
2020-03-11|242648
2020-03-12|244946
2020-03-13|242393
2020-03-14|175786
2020-03-15|138973
2020-03-16|209185
2020-03-17|127237
2020-03-18|66902
2020-03-19|63028
2020-03-20|65537
2020-03-21|35975
2020-03-22|22143
2020-03-23|59352
2020-03-24|57114
2020-03-25|56559
2020-03-26|57778
2020-03-27|61409
2020-03-28|35277
2020-03-29|21064
2020-03-30|57803
2020-03-31|61109
2020-04-01|62383
2020-04-02|63479
2020-04-03|67243
2020-04-04|39185
2020-04-05|24308
2020-04-06|65476
2020-04-07|67222
2020-04-08|68356
2020-04-09|70922
2020-04-10|77232
2020-04-11|44708
2020-04-12|26013
2020-04-13|32340
2020-04-14|80003
2020-04-15|78676
2020-04-16|78961
2020-04-17|83591
2020-04-18|48179
2020-04-19|28378
2020-04-20|79123
2020-04-21|83266
2020-04-22|83809
2020-04-23|87068
2020-04-24|90626
2020-04-25|53267
2020-04-26|34143
2020-04-27|90620
2020-04-28|93509
2020-04-29|97728
2020-04-30|105277
2020-05-01|41391
2020-05-02|64782
2020-05-03|39709
2020-05-04|107795
2020-05-05|112155
2020-05-06|115070
2020-05-07|121753
2020-05-08|63968
2020-05-09|74662
2020-05-10|51591
2020-05-11|182832
2020-05-12|186207
2020-05-13|187831
2020-05-14|193032
2020-05-15|200437
2020-05-16|151852
2020-05-17|121783
2020-05-18|191756
2020-05-19|200709
2020-05-20|202076
2020-05-21|132180
2020-05-22|179143
2020-05-23|145007
2020-05-24|125792
2020-05-25|198301
2020-05-26|206391
2020-05-27|209523
2020-05-28|204912
2020-06-08|218376
2020-06-09|226732
2020-06-10|230833
2020-06-11|234414
2020-06-12|245710
2020-06-13|184925
2020-06-14|148277
2020-06-15|225153
2020-06-16|235289
2020-06-17|235881
2020-06-18|242911
2020-06-19|256432
2020-06-20|195923
2020-06-21|166587
2020-06-22|233831
2020-06-23|241466
2020-06-24|261281
2020-06-25|277257
2020-06-26|297461
2020-06-27|229894
2020-06-28|181126
2020-06-29|265305
2020-06-30|276778
2020-07-01|282032
2020-07-02|287393
2020-07-03|288711
2020-07-04|202133
2020-07-05|163571
2020-07-06|244682
2020-07-07|252432
2020-07-08|246528
2020-07-09|255144
2020-07-10|275352
2020-07-11|199212
2020-07-12|145181
2020-07-13|194841
2020-07-14|152229
2020-07-15|254739
2020-07-16|249715
2020-07-17|264818
2020-07-18|197348
2020-07-19|152182
2020-07-20|233165
2020-07-21|235705
2020-07-22|237279
2020-07-23|233820
2020-07-24|222570
2020-07-25|159898
2020-07-26|128289
2020-07-27|205959
2020-07-28|240269
2020-07-29|221952
2020-07-30|198679
2020-07-31|253719
2020-08-01|195121
2020-08-02|147224
2020-08-02|147224
2020-08-02|147224
2020-08-02|147224
2020-08-06|204524
2020-08-07|233439
2020-08-08|187395
2020-08-09|140434
2020-08-10|202817
2020-08-11|202156
2020-08-12|206377
2020-08-13|NA
2020-08-14|224692
2020-08-15|NA
2020-08-16|NA
2020-08-17|214403
2020-08-18|207040
2020-08-19|203806
2020-08-20|207444
2020-08-21|232511
2020-08-22|190848
2020-08-23|152557
2020-08-24|216126
2020-08-25|218563
2020-08-27|220948
2020-08-28|253067
2020-08-29|196580
2020-08-30|160505
2020-08-31|215900
2020-09-01|237892
2020-09-02|235910
2020-09-03|251217
2020-09-04|257980
2020-09-05|202680
2020-09-06|164732
2020-09-08|240070
2020-09-09|243866
2020-09-10|233225
2020-09-11|247361
2020-09-12|182188
2020-09-13|146811
2020-09-14|215531
2020-09-15|223952
2020-09-16|221419
2020-09-17|228228
2020-09-18|244326
2020-09-19|181910
2020-09-20|167868
2020-09-21|221989
2020-09-22|230755
2020-09-23|230309
2020-09-24|234406
2020-09-25|245212
2020-09-26|178875
2020-09-27|146274
2020-09-28|217969
2020-09-29|224404
2020-09-30|229955
2020-10-01|237071
2020-10-02|243183
2020-10-03|179062
2020-10-04|135826
2020-10-05|219712
2020-10-06|227145
2020-10-07|226715
2020-10-08|235132
2020-10-09|240567
2020-10-10|192350
2020-10-11|162609
2020-10-12|228678
2020-10-13|225224
2020-10-14|229783
2020-10-15|238098
2020-10-16|247011
2020-10-17|187098
2020-10-18|150789
2020-10-19|217661
2020-10-20|222572
2020-10-21|223517
2020-10-22|227660
2020-10-23|238199
2020-10-24|187886
2020-10-25|161571
2020-10-26|212969
2020-10-27|218442
2020-10-28|231682
2020-10-30|171329
2020-10-31|99992
2020-11-01|48490
2020-11-02|138442
2020-11-03|165409
2020-11-04|159801
2020-11-05|167632
2020-11-06|171474
2020-11-07|94620
2020-11-08|63403
2020-11-09|152249
2020-11-10|181073
2020-11-11|74296
2020-11-12|160266
2020-11-13|175233
2020-11-14|98979
2020-11-15|73117
2020-11-16|169192
2020-11-17|174712
2020-11-18|170263
2020-11-19|177542
2020-11-20|180739
2020-11-21|104448
2020-11-22|69662
2020-11-23|173830
2020-11-24|179504
2020-11-25|174406
2020-11-26|179872
2020-11-27|188741
2020-11-28|141927
2020-11-29|107230
2020-11-30|191053
2020-12-01|195688
2020-12-02|195727
2020-12-03|201157
2020-12-04|213594
2020-12-05|150091
2020-12-06|112087
2020-12-07|192117
2020-12-08|201012
2020-12-09|203444
2020-12-10|205343
2020-12-11|214967
2020-12-12|154503
2020-12-13|120042
2020-12-14|202238
2020-12-14|202238
2020-12-16|223150
2020-12-16|223150
2020-12-18|224728
2020-12-18|224728
2020-12-21|156633
2020-12-22|162934
2020-12-23|161197
2020-12-24|140071
2020-12-25|76458
2020-12-25|76458
2020-12-25|76458
2020-12-28|123420
2020-12-29|135032
2020-12-30|141002
2020-12-31|128255
2021-01-01|67315
2021-01-02|107734
2021-01-03|90847
2021-01-04|142529
2021-01-05|189986
2021-01-07|196056
2021-01-08|201329
2021-01-09|151053
2021-01-10|116288
2021-01-11|188849
2021-01-11|188849
2021-01-12|195607
2021-01-13|200655
2021-01-14|200420
2021-01-15|207523
2021-01-16|136461
2021-01-17|110021
2021-01-18|184210
2021-01-18|184210
2021-01-20|186305
2021-01-21|191420
2021-01-22|199242
2021-01-23|138766
2021-01-24|107816
2021-01-25|182830
2021-01-26|187147
2021-01-27|191487
2021-01-28|196063
2021-01-29|200595
2021-01-30|146606
2021-01-31|106740
2021-02-01|180487
2021-02-01|180487
2021-02-03|186441
2021-02-04|187598
2021-02-05|195648
2021-02-06|139756
2021-02-07|108068
2021-02-08|175353
2021-02-09|180058
2021-02-10|183808
2021-02-11|183122
2021-02-12|188378
2021-02-13|144503
2021-02-14|114996
2021-02-15|172283
2021-02-16|178500
2021-02-17|177331
2021-02-18|180421
2021-02-19|187739
2021-02-20|141097
2021-02-21|114878
2021-02-22|184884
2021-02-23|193243
2021-02-24|188352
2021-02-25|200218
2021-02-26|203497
2021-02-27|164671
2021-02-28|125048
2021-03-01|189849
2021-03-02|198603
2021-03-03|197084
2021-03-04|193876
2021-03-05|203648
2021-03-06|153381
2021-03-07|118785
2021-03-08|190123
2021-03-09|194262
2021-03-10|196058
2021-03-11|198216
2021-03-12|200498
2021-03-13|145116
2021-03-13|145116
2021-03-13|145116
2021-03-16|0
2021-03-17|195161
2021-03-18|196646
2021-03-19|208633
2021-03-20|156566
2021-03-21|122599
2021-03-22|189919
2021-03-23|195425
2021-03-24|200248
2021-03-25|200446
2021-03-26|193031
2021-03-27|153097
2021-03-28|123581
2021-03-29|190486
2021-03-30|158158
2021-03-31|200696
2021-04-01|207516
2021-04-02|217707
2021-04-03|156357
2021-04-04|100695
2021-04-05|109909
2021-04-06|177090
2021-04-07|178755
2021-04-08|182181
2021-04-09|184342
2021-04-10|131551
2021-04-11|98001
2021-04-12|171263
2021-04-13|175988
2021-04-14|172564
2021-04-15|162846
2021-04-16|166954
2021-04-17|119675
2021-04-18|95192
2021-04-19|154842
2021-04-20|161387
2021-04-21|162327
2021-04-22|164189
2021-04-23|165561
2021-04-24|126268
2021-04-25|95383
2021-04-26|169215
2021-04-27|171869
2021-04-28|173076
2021-04-29|178451
2021-04-30|183137
2021-05-01|115880
2021-05-02|108650
2021-05-03|183763
2021-05-04|185583
2021-05-05|188811
2021-05-06|192670
2021-05-07|197011
2021-05-08|130347
2021-05-09|106110
2021-05-10|180954
2021-05-11|193750
2021-05-15|120595
2021-05-16|113995
2021-05-17|180926
2021-05-18|178507
2021-05-19|201116
2021-05-20|207507
2021-05-21|213724
2021-05-22|156618
2021-05-23|122278
2021-05-24|136984
2021-05-25|202131
2021-05-26|191764
2021-05-27|205356
2021-05-28|207005
2021-05-29|159544
2021-05-30|157782
2021-05-31|196793
2021-06-01|194324
2021-06-02|197513
2021-06-03|202416
2021-06-04|209574
2021-06-05|164192
2021-06-06|132735
2021-06-07|192860
2021-06-08|199682
2021-06-09|210250
2021-06-10|211056
2021-06-11|219051
2021-06-12|170896
2021-06-13|135023
2021-06-14|196349
2021-06-17|212289
2021-06-18|217674
2021-06-19|167720
2021-06-20|151088
2021-06-21|211395
2021-06-22|210423
2021-06-23|182955
2021-06-24|202382
2021-06-25|221139
2021-06-26|167877
2021-06-27|136316
2021-06-28|201363
2021-06-29|199636
2021-06-30|219798
2021-07-01|219374
2021-07-02|209207
2021-07-03|176465
2021-07-04|140741
2021-07-05|201823
2021-07-06|200486
2021-07-07|214819
2021-07-08|223448
2021-07-09|224050
2021-07-10|177403
2021-07-11|135079
2021-07-12|200435
2021-07-13|207914
2021-07-14|142349
2021-07-15|203466
2021-07-16|211438
2021-07-17|171091
2021-07-18|134061
2021-07-19|0
2021-07-20|0
2021-07-21|0
2021-07-22|0
2021-07-23|0
2021-07-24|0
2021-07-25|0
2021-07-26|0
2021-07-27|0
2021-07-28|0
2021-07-29|0
2021-07-30|0
2021-07-31|0
2021-08-01|0
2021-08-02|0
2021-08-03|0
2021-08-04|0
2021-08-05|0
2021-08-06|0
2021-08-07|0
2021-08-08|0
2021-08-09|0
2021-08-10|0
2021-08-12|0
2021-08-13|0
2021-08-14|0
2021-08-15|0
2021-08-16|0
2021-08-17|0
2021-08-18|0
2021-08-19|0
2021-08-20|0
2021-08-21|0
2021-08-22|0
2021-08-23|0
2021-08-24|0
2021-08-25|0
2021-08-29|0
2021-08-30|0
2021-08-31|0
2021-09-01|0
2021-09-02|0
2021-09-03|0
2021-09-04|0
2021-09-05|0
2021-09-06|0
2021-09-07|0
2021-09-08|0
2021-09-09|0
2021-09-10|0
2021-09-11|0
2021-09-12|0
2021-09-13|0
2021-09-14|0
2021-09-15|0
2021-09-16|0
2021-09-17|0
2021-09-18|0
2021-09-19|0
2021-09-20|0
2021-09-21|0
2021-09-22|0
2021-09-23|0
2021-09-24|0
2021-09-25|0
2021-09-26|0
2021-09-27|0
2021-09-28|0
2021-09-29|0
2021-09-30|0
2021-10-01|0
2021-10-02|0
2021-10-03|0
2021-10-04|0
