date,ITV,MGL_ITV
2020-01-01,-0.08,NA
2020-01-02,-0.05,NA
2020-01-03,0.01,NA
2020-01-04,-0.02,NA
2020-01-05,-0.05,NA
2020-01-06,-0.03,NA
2020-01-07,-0.03,-0.03
2020-01-08,0.08,-0.01
2020-01-09,0.08,0.01
2020-01-10,0.09,0.02
2020-01-11,0.04,0.03
2020-01-12,NA,0.04
2020-01-13,0.06,0.05
2020-01-14,0.06,0.07
2020-01-15,0.07,0.07
2020-01-16,0.11,0.07
2020-01-17,0.14,0.08
2020-01-18,0.04,0.08
2020-01-19,-0.02,0.06
2020-01-20,-0.00,0.06
2020-01-21,0.01,0.05
2020-01-22,-0.02,0.04
2020-01-23,0.04,0.03
2020-01-24,0.04,0.01
2020-01-25,-0.01,0.01
2020-01-26,-0.06,0.00
2020-01-27,-0.03,-0.00
2020-01-28,-0.03,-0.01
2020-01-29,0.01,-0.00
2020-01-30,0.08,0.00
2020-01-31,0.06,0.00
2020-02-01,-0.01,0.00
2020-02-02,-0.10,-0.00
2020-02-03,-0.05,-0.00
2020-02-04,-0.01,-0.00
2020-02-05,0.02,-0.00
2020-02-06,0.02,-0.01
2020-02-07,0.05,-0.01
2020-02-08,-0.03,-0.01
2020-02-09,-0.11,-0.02
2020-02-10,-0.07,-0.02
2020-02-11,0.00,-0.02
2020-02-12,-0.01,-0.02
2020-02-13,-0.01,-0.03
2020-02-14,0.03,-0.03
2020-02-15,-0.04,-0.03
2020-02-16,-0.11,-0.03
2020-02-17,-0.07,-0.03
2020-02-18,-0.05,-0.04
2020-02-19,-0.02,-0.04
2020-02-20,-0.01,-0.04
2020-02-21,0.03,-0.04
2020-02-22,-0.00,-0.03
2020-02-23,-0.06,-0.02
2020-02-24,NA,-0.02
2020-02-25,-0.02,-0.01
2020-02-26,0.01,-0.01
2020-02-27,0.02,-0.00
2020-02-28,0.05,0.00
2020-02-29,NA,0.00
2020-03-01,NA,NA
2020-03-02,-0.05,0.00
2020-03-03,-0.03,0.00
2020-03-04,-0.00,0.00
2020-03-05,-0.01,-0.01
2020-03-06,0.04,-0.01
2020-03-07,-0.02,-0.01
2020-03-08,-0.12,-0.03
2020-03-09,-0.06,-0.03
2020-03-10,-0.01,-0.03
2020-03-11,0.00,-0.03
2020-03-12,0.02,-0.02
2020-03-13,0.03,-0.02
2020-03-14,-0.13,-0.04
2020-03-15,-0.25,-0.06
2020-03-16,-0.07,-0.06
2020-03-17,-0.38,-0.11
2020-03-18,-0.67,-0.21
2020-03-19,-0.39,-0.26
2020-03-20,-0.69,-0.37
2020-03-21,-0.74,-0.45
2020-03-22,-0.81,-0.54
2020-03-23,-0.71,-0.63
2020-03-24,-0.72,-0.68
2020-03-25,-0.73,-0.69
2020-03-26,-0.72,-0.73
2020-03-27,-0.71,-0.73
2020-03-28,-0.81,-0.74
2020-03-29,NA,-0.73
2020-03-30,-0.72,-0.73
2020-03-31,-0.71,-0.73
2020-04-01,-0.70,-0.73
2020-04-02,-0.70,-0.73
2020-04-03,-0.69,-0.72
2020-04-04,-0.78,-0.72
2020-04-05,-0.74,-0.72
2020-04-06,-0.65,-0.71
2020-04-07,-0.59,-0.70
2020-04-08,-0.68,-0.69
2020-04-09,-0.67,-0.69
2020-04-10,-0.66,-0.68
2020-04-11,-0.76,-0.68
2020-04-12,-0.82,-0.69
2020-04-13,-0.80,-0.71
2020-04-14,-0.64,-0.72
2020-04-15,-0.64,-0.71
2020-04-16,-0.64,-0.71
2020-04-17,-0.61,-0.70
2020-04-18,-0.75,-0.70
2020-04-19,-0.80,-0.70
2020-04-20,-0.62,-0.67
2020-04-21,-0.59,-0.66
2020-04-22,-0.58,-0.65
2020-04-23,-0.57,-0.65
2020-04-24,-0.57,-0.64
2020-04-25,-0.72,-0.64
2020-04-26,-0.78,-0.63
2020-04-27,-0.62,-0.63
2020-04-28,-0.60,-0.64
2020-04-29,-0.53,-0.63
2020-04-30,-0.50,-0.62
2020-05-01,-0.73,-0.64
2020-05-02,-0.68,-0.63
2020-05-03,-0.66,-0.62
2020-05-04,-0.48,-0.60
2020-05-05,-0.47,-0.58
2020-05-06,-0.45,-0.57
2020-05-07,-0.43,-0.56
2020-05-08,-0.64,-0.54
2020-05-09,-0.63,-0.54
2020-05-10,-0.68,-0.54
2020-05-11,-0.22,-0.50
2020-05-12,-0.19,-0.46
2020-05-13,-0.19,-0.43
2020-05-14,-0.17,-0.39
2020-05-15,-0.15,-0.32
2020-05-16,-0.26,-0.27
2020-05-17,-0.35,-0.22
2020-05-18,-0.18,-0.21
2020-05-19,-0.19,-0.21
