Zone,date,ITV,IPL,MGL_ITV,MGL_IPL
Auvergne-Rhône-Alpes,2020-01-01,NA,NA,NA,NA
Auvergne-Rhône-Alpes,2020-01-02,-0.02,-0.25,NA,NA
Auvergne-Rhône-Alpes,2020-01-03,0.06,-0.19,NA,NA
Auvergne-Rhône-Alpes,2020-01-04,-0.02,-0.52,NA,NA
Auvergne-Rhône-Alpes,2020-01-05,-0.22,-0.71,NA,NA
Auvergne-Rhône-Alpes,2020-01-06,-0.02,0.07,NA,NA
Auvergne-Rhône-Alpes,2020-01-07,-0.02,0.15,NA,NA
Auvergne-Rhône-Alpes,2020-01-08,0.01,0.18,-0.03,-0.18
Auvergne-Rhône-Alpes,2020-01-09,0.03,0.18,-0.03,-0.12
Auvergne-Rhône-Alpes,2020-01-10,0.14,0.11,-0.01,-0.08
Auvergne-Rhône-Alpes,2020-01-11,-0.11,-0.50,-0.03,-0.07
Auvergne-Rhône-Alpes,2020-01-12,-0.29,-0.72,-0.04,-0.08
Auvergne-Rhône-Alpes,2020-01-13,0.01,0.17,-0.03,-0.06
Auvergne-Rhône-Alpes,2020-01-14,0.04,0.26,-0.02,-0.05
Auvergne-Rhône-Alpes,2020-01-15,0.03,0.23,-0.02,-0.04
Auvergne-Rhône-Alpes,2020-01-16,0.05,0.22,-0.02,-0.03
Auvergne-Rhône-Alpes,2020-01-17,0.16,0.14,-0.02,-0.03
Auvergne-Rhône-Alpes,2020-01-18,-0.09,-0.50,-0.01,-0.03
Auvergne-Rhône-Alpes,2020-01-19,-0.29,-0.72,-0.01,-0.03
Auvergne-Rhône-Alpes,2020-01-20,0.01,0.18,-0.01,-0.03
Auvergne-Rhône-Alpes,2020-01-21,0.00,0.23,-0.02,-0.03
Auvergne-Rhône-Alpes,2020-01-22,0.04,0.28,-0.02,-0.02
Auvergne-Rhône-Alpes,2020-01-23,0.03,0.24,-0.02,-0.02
Auvergne-Rhône-Alpes,2020-01-24,0.16,0.12,-0.02,-0.02
Auvergne-Rhône-Alpes,2020-01-25,-0.04,-0.47,-0.01,-0.02
Auvergne-Rhône-Alpes,2020-01-26,-0.27,-0.72,-0.01,-0.02
Auvergne-Rhône-Alpes,2020-01-27,0.01,0.18,-0.01,-0.02
Auvergne-Rhône-Alpes,2020-01-28,0.01,0.24,-0.01,-0.02
Auvergne-Rhône-Alpes,2020-01-29,-0.05,0.14,-0.02,-0.04
Auvergne-Rhône-Alpes,2020-01-30,0.01,0.21,-0.02,-0.04
Auvergne-Rhône-Alpes,2020-01-31,0.18,0.16,-0.02,-0.04
Auvergne-Rhône-Alpes,2020-02-01,0.00,-0.46,-0.02,-0.04
Auvergne-Rhône-Alpes,2020-02-02,-0.26,-0.71,-0.01,-0.03
Auvergne-Rhône-Alpes,2020-02-03,-0.02,0.14,-0.02,-0.04
Auvergne-Rhône-Alpes,2020-02-04,0.00,0.24,-0.02,-0.04
Auvergne-Rhône-Alpes,2020-02-05,0.04,0.24,-0.01,-0.03
Auvergne-Rhône-Alpes,2020-02-06,0.06,0.30,-0.00,-0.01
Auvergne-Rhône-Alpes,2020-02-07,0.21,0.19,0.00,-0.01
Auvergne-Rhône-Alpes,2020-02-08,0.07,-0.45,0.01,-0.01
Auvergne-Rhône-Alpes,2020-02-09,-0.24,-0.72,0.02,-0.01
Auvergne-Rhône-Alpes,2020-02-10,0.01,0.19,0.02,-0.00
Auvergne-Rhône-Alpes,2020-02-11,0.00,0.24,0.02,-0.00
Auvergne-Rhône-Alpes,2020-02-12,0.02,0.24,0.02,-0.00
Auvergne-Rhône-Alpes,2020-02-13,0.06,0.26,0.02,-0.01
Auvergne-Rhône-Alpes,2020-02-14,0.25,0.20,0.02,-0.01
Auvergne-Rhône-Alpes,2020-02-15,0.10,-0.45,0.03,-0.01
Auvergne-Rhône-Alpes,2020-02-16,-0.20,-0.70,0.03,-0.00
Auvergne-Rhône-Alpes,2020-02-17,0.04,0.21,0.04,-0.00
Auvergne-Rhône-Alpes,2020-02-18,0.05,0.29,0.05,0.01
Auvergne-Rhône-Alpes,2020-02-19,0.05,0.28,0.05,0.01
Auvergne-Rhône-Alpes,2020-02-20,0.09,0.29,0.05,0.02
Auvergne-Rhône-Alpes,2020-02-21,0.30,0.24,0.06,0.02
Auvergne-Rhône-Alpes,2020-02-22,0.19,-0.39,0.07,0.03
Auvergne-Rhône-Alpes,2020-02-23,-0.08,-0.64,0.09,0.04
Auvergne-Rhône-Alpes,2020-02-24,0.04,0.21,0.09,0.04
Auvergne-Rhône-Alpes,2020-02-25,0.02,0.29,0.09,0.04
Auvergne-Rhône-Alpes,2020-02-26,-0.04,0.21,0.07,0.03
Auvergne-Rhône-Alpes,2020-02-27,-0.00,0.21,0.06,0.02
Auvergne-Rhône-Alpes,2020-02-28,0.23,0.18,0.05,0.01
Auvergne-Rhône-Alpes,2020-02-29,0.07,-0.47,0.03,-0.00
Auvergne-Rhône-Alpes,2020-03-01,-0.16,-0.68,0.02,-0.01
Auvergne-Rhône-Alpes,2020-03-02,-0.02,0.16,0.01,-0.01
Auvergne-Rhône-Alpes,2020-03-03,0.00,0.27,0.01,-0.02
Auvergne-Rhône-Alpes,2020-03-04,0.02,0.27,0.02,-0.01
Auvergne-Rhône-Alpes,2020-03-05,0.05,0.25,0.03,-0.00
Auvergne-Rhône-Alpes,2020-03-06,0.17,0.19,0.02,-0.00
Auvergne-Rhône-Alpes,2020-03-07,0.04,-0.45,0.01,0.00
Auvergne-Rhône-Alpes,2020-03-08,-0.19,-0.69,0.01,0.00
Auvergne-Rhône-Alpes,2020-03-09,0.01,0.20,0.01,0.01
Auvergne-Rhône-Alpes,2020-03-10,0.03,0.29,0.02,0.01
Auvergne-Rhône-Alpes,2020-03-11,-0.00,0.25,0.02,0.01
Auvergne-Rhône-Alpes,2020-03-12,-0.04,0.18,0.00,-0.00
Auvergne-Rhône-Alpes,2020-03-13,0.17,0.21,0.00,-0.00
Auvergne-Rhône-Alpes,2020-03-14,-0.09,-0.47,-0.02,-0.00
Auvergne-Rhône-Alpes,2020-03-15,-0.35,-0.73,-0.04,-0.01
Auvergne-Rhône-Alpes,2020-03-16,-0.03,0.21,-0.04,-0.01
Auvergne-Rhône-Alpes,2020-03-17,-0.28,0.09,-0.09,-0.04
Auvergne-Rhône-Alpes,2020-03-18,-0.64,-0.19,-0.18,-0.10
Auvergne-Rhône-Alpes,2020-03-19,-0.68,-0.28,-0.27,-0.17
Auvergne-Rhône-Alpes,2020-03-20,-0.69,-0.41,-0.39,-0.25
Auvergne-Rhône-Alpes,2020-03-21,-0.59,-0.84,-0.47,-0.31
Auvergne-Rhône-Alpes,2020-03-22,-0.68,-0.94,-0.51,-0.34
Auvergne-Rhône-Alpes,2020-03-23,-0.68,-0.43,-0.61,-0.43
Auvergne-Rhône-Alpes,2020-03-24,-0.70,-0.38,-0.67,-0.50
Auvergne-Rhône-Alpes,2020-03-25,-0.72,-0.38,-0.68,-0.52
Auvergne-Rhône-Alpes,2020-03-26,-0.70,-0.39,-0.68,-0.54
Auvergne-Rhône-Alpes,2020-03-27,-0.70,-0.47,-0.68,-0.55
Auvergne-Rhône-Alpes,2020-03-28,-0.87,-0.87,-0.72,-0.55
Auvergne-Rhône-Alpes,2020-03-29,-0.89,-0.95,-0.75,-0.55
Auvergne-Rhône-Alpes,2020-03-30,-0.71,-0.44,-0.76,-0.55
Auvergne-Rhône-Alpes,2020-03-31,-0.70,-0.38,-0.76,-0.55
Auvergne-Rhône-Alpes,2020-04-01,-0.69,-0.38,-0.75,-0.55
Auvergne-Rhône-Alpes,2020-04-02,-0.70,-0.37,-0.75,-0.55
Auvergne-Rhône-Alpes,2020-04-03,-0.69,-0.45,-0.75,-0.55
Auvergne-Rhône-Alpes,2020-04-04,-0.77,-0.86,-0.74,-0.55
Auvergne-Rhône-Alpes,2020-04-05,-0.81,-0.95,-0.72,-0.55
Auvergne-Rhône-Alpes,2020-04-06,-0.68,-0.39,-0.72,-0.54
Auvergne-Rhône-Alpes,2020-04-07,-0.67,-0.32,-0.72,-0.53
Auvergne-Rhône-Alpes,2020-04-08,-0.67,-0.31,-0.71,-0.52
Auvergne-Rhône-Alpes,2020-04-09,-0.63,-0.32,-0.70,-0.51
Auvergne-Rhône-Alpes,2020-04-10,-0.61,-0.40,-0.69,-0.51
Auvergne-Rhône-Alpes,2020-04-11,-0.81,-0.86,-0.70,-0.51
Auvergne-Rhône-Alpes,2020-04-12,-0.89,-0.97,-0.71,-0.51
Auvergne-Rhône-Alpes,2020-04-13,-0.89,-0.91,-0.74,-0.58
Auvergne-Rhône-Alpes,2020-04-14,-0.58,-0.30,-0.73,-0.58
Auvergne-Rhône-Alpes,2020-04-15,-0.57,-0.24,-0.71,-0.57
Auvergne-Rhône-Alpes,2020-04-16,-0.57,-0.22,-0.70,-0.56
Auvergne-Rhône-Alpes,2020-04-17,-0.60,-0.32,-0.70,-0.55
Auvergne-Rhône-Alpes,2020-04-18,-0.81,-0.82,-0.70,-0.54
Auvergne-Rhône-Alpes,2020-04-19,-0.91,-0.94,-0.70,-0.54
Auvergne-Rhône-Alpes,2020-04-20,-0.61,-0.27,-0.66,-0.44
Auvergne-Rhône-Alpes,2020-04-21,-0.57,-0.19,-0.66,-0.43
Auvergne-Rhône-Alpes,2020-04-22,-0.58,-0.18,-0.66,-0.42
Auvergne-Rhône-Alpes,2020-04-23,-0.56,-0.16,-0.66,-0.41
Auvergne-Rhône-Alpes,2020-04-24,-0.57,-0.26,-0.66,-0.40
Auvergne-Rhône-Alpes,2020-04-25,-0.80,-0.82,-0.66,-0.40
Auvergne-Rhône-Alpes,2020-04-26,-0.89,-0.93,-0.65,-0.40
Auvergne-Rhône-Alpes,2020-04-27,-0.56,-0.15,-0.65,-0.38
Auvergne-Rhône-Alpes,2020-04-28,-0.55,-0.09,-0.64,-0.37
Auvergne-Rhône-Alpes,2020-04-29,-0.53,-0.05,-0.64,-0.35
Auvergne-Rhône-Alpes,2020-04-30,-0.51,-0.15,-0.63,-0.35
Auvergne-Rhône-Alpes,2020-05-01,-0.87,-0.90,-0.67,-0.44
Auvergne-Rhône-Alpes,2020-05-02,-0.79,-0.82,-0.67,-0.44
Auvergne-Rhône-Alpes,2020-05-03,-0.88,-0.93,-0.67,-0.44
Auvergne-Rhône-Alpes,2020-05-04,-0.50,-0.06,-0.66,-0.43
